noun,correct_lemma
gads,137200
laiks,92262
pagasts,88500
diena,78696
tiesa,71923
zeme,70873
lieta,64237
darbs,63579
māja,63553
vieta,61266
nauda,54189
kungs,53858
dievs,53403
bērns,53100
miņa,49495
skola,49281
biedrība,48893
cilveks,44777
pilsēta,44648
latvietis,41734
nams,40933
draudze,38960
roka,37450
puse,35310
muiža,34523
tauta,33913
miņs,33807
kars,32992
baznica,32697
mārds,32253
ceļš,31879
zirgs,31183
krievs,29450
rublis,29140
mācitajs,28777
iela,28690
daļa,28392
saimnieks,27959
ļaudis,27635
spēks,27230
lauks,26377
grāmata,25597
valsts,25299
apriņķis,23155
miers,22193
gods,22006
rīts,21800
vārds,21230
priekša,21008
vakars,20922
sirds,20660
nakts,20416
lops,20313
kuģis,20264
Riga,19983
likums,19917
amats,19807
Pēterburga,19417
mēnesis,19309
augusts,19168
pulks,18828
dēls,18589
valdiba,18496
prieks,18409
prāts,18186
koks,18128
biedrs,17807
doma,17790
raksts,17758
kronis,17697
māte,17443
draugs,17144
gabals,17119
dzīve,17112
ūdens,17072
vīrs,17039
tirgus,16820
uguns,16643
gals,16526
māciba,16494
avīze,16420
manta,16293
sapulce,16287
valoda,16130
zemnieks,15703
strādnieks,15691
jūra,15503
siema,15461
ziņa,15446
šīds,15407
Liepaja,15240
maksa,15210
pasaule,15188
apgabals,14881
loceklis,14796
svētki,14695
starpa,14672
turks,14618
guberņa,14365
puds,13974
tēvs,13859
runa,13508
meita,13145
auglis,13042
palīgs,12997
dziesma,12977
maijs,12944
parāds,12799
rudzi,12794
kārta,12718
sams,12514
mala,12443
mīlestiba,12301
vāci,12145
mīrs,12128
sāls,12005
laikraksts,11947
brālis,11928
galms,11878
nodaļa,11737
ēka,11624
reize,11598
balss,11510
acs,11436
krogs,11419
jautājums,11334
anglis,11257
valde,11220
laime,11146
persona,11131
priekšnieks,11020
stunda,10986
kāja,10769
mērs,10758
gaiss,10525
policija,10504
nelaime,10336
varets,10040
oktobris,10014
kurrs,9978
istaba,9957
tiesiba,9847
skaits,9638
kalns,9598
labums,9248
fabrika,9202
masa,9139
kopa,9076
ministrs,9075
daba,9073
sāle,8968
mežs,8966
dome,8954
padoms,8922
ķēniņš,8882
miesa,8856
komisija,8806
pils,8797
zelts,8750
dašada,8747
labiba,8738
nedēļa,8718
atbilde,8696
sēkla,8683
kalps,8654
trūkums,8627
barons,8591
marts,8587
galva,8557
cena,8537
bēda,8517
skolotājs,8501
komiteja,8383
tēma,8352
lins,8306
gadijums,8211
cietums,8181
dašs,8129
šejiene,8118
vareja,8102
upe,8101
dzīviba,8075
sala,8039
notikums,8032
sods,8027
vecaks,7915
miezis,7901
jauneklis,7899
prece,7890
ienaidnieks,7810
vasara,7808
pēda,7786
kurss,7786
alga,7769
dzelsceļs,7768
februāris,7694
jūlijs,7669
siena,7627
partija,7611
solis,7610
ārsts,7573
stāvoklis,7474
pusdiena,7441
koris,7432
lapa,7431
īpašnieks,7365
auss,7333
vidus,7329
armija,7318
pamats,7294
ticiba,7283
spriedums,7241
papīrs,7229
decembris,7204
grēks,7186
Vareta,7164
galds,7105
numurs,7065
nelaiķis,7065
ķeisars,7064
logs,7038
maldišana,7033
iestāde,7000
franči,6989
osta,6985
malka,6901
brīdis,6848
gubernators,6841
gaisma,6798
tappe,6798
gars,6796
prūsis,6763
kaps,6638
Saule,6550
jūnijs,6544
pūrs,6534
karš,6412
meitene,6408
šini,6395
ārzemes,6334
zemkopis,6290
beigas,6242
nolūks,6223
debess,6200
lūgšana,6198
sīme,6082
ministrija,6079
kase,6071
sudrabs,6047
telpa,6041
durvis,6039
līdzeklis,6021
būšana,6012
maiss,5992
ģenerālis,5958
robeša,5954
kauja,5954
rats,5914
lietus,5878
skāde,5873
svētdiena,5844
puisis,5832
krusts,5831
dienests,5830
Keisars,5787
drēbe,5769
izstāde,5763
kārtiba,5759
pasts,5742
stāveja,5741
dakteris,5642
briesmas,5631
Diema,5625
Bībele,5600
sieva,5598
nieks,5588
padome,5585
zemkopiba,5554
sludinašana,5539
tāle,5516
zemis,5507
piens,5469
iemesls,5469
dašads,5462
dzīvoklis,5446
nāme,5430
polis,5414
dzelssceļs,5403
citts,5369
tilts,5263
citta,5199
Kuldiga,5155
miljons,5144
septembris,5118
līķis,5111
saldats,5095
lūgums,5090
pavēle,5079
Berline,5056
policeja,5056
apstāklis,5014
ziņojums,4981
cīņa,4974
uzbrukums,4946
ledus,4942
gaļa,4938
avīse,4938
iekša,4933
ierēdnis,4865
tūkstotis,4855
ciems,4847
lielaks,4838
vietnieks,4835
publika,4810
milti,4773
simts,4749
sargs,4743
krasts,4673
cūka,4663
prassišana,4649
nemiers,4626
dziedašana,4610
katolis,4594
Mārds,4577
siems,4574
augša,4574
gulta,4572
mucca,4557
stāsts,4556
Miņs,4552
apkārtne,4549
nāve,4544
kabata,4541
majestāte,4528
mašina,4516
bilde,4496
students,4491
ierocis,4482
direktors,4470
Oktobers,4450
iesākums,4438
mērķis,4421
šēlastiba,4403
ceriba,4394
karrs,4350
accis,4342
suns,4328
Leišs,4308
sēde,4306
velte,4279
tabaka,4261
baznics,4232
lasitajs,4211
mēsls,4207
nodoklis,4196
gans,4177
mass,4173
mierigs,4146
vienigi,4146
reiza,4132
ārs,4129
maijadzigs,4126
igaunis,4119
kaimiņš,4113
sēta,4113
janvāris,4111
mini,4101
jav,4083
Ši,4077
mūšs,4063
stallis,4061
jumts,4036
projekts,4021
dmēsele,4018
panākums,4002
sākums,3989
stacija,3975
lielgabals,3972
kgs,3932
sēns,3931
stāds,3927
prete,3924
salms,3921
šeijene,3904
sakne,3903
bailes,3890
pulkstenis,3889
muižnieks,3859
upuris,3854
sērga,3843
brīnums,3833
bads,3831
būrs,3821
pienākums,3778
māsa,3750
posts,3741
princis,3731
summa,3730
tuvums,3708
Zeptembers,3706
kapitāls,3702
puķe,3694
Avīse,3693
mugura,3677
sniegs,3670
saturs,3654
pārdošana,3651
banka,3636
sieviete,3635
klase,3628
nabags,3616
merste,3610
āboliņš,3610
Parise,3587
Valdiba,3581
teātris,3581
īpašums,3577
rinda,3527
Mercs,3524
šana,3513
grauds,3505
atraitne,3497
kundze,3493
asins,3491
kopšana,3483
ministers,3454
piemērs,3446
iecirknis,3426
putns,3418
lode,3416
redzeja,3389
nodoms,3386
priekšlikums,3380
āda,3359
krājums,3352
pārtika,3343
vērtiba,3341
pūliņš,3336
slimnieks,3322
dziedatajs,3318
aita,3318
japānis,3316
vēstule,3316
šāviens,3302
slimiba,3298
dabujušs,3296
dumpis,3292
dāmana,3285
lielums,3281
dzēriens,3270
satiksme,3270
ticciba,3268
gariga,3252
austrumi,3243
mārciņa,3228
dumpinieks,3227
laupitajs,3209
kviesis,3202
turiene,3201
dāvana,3197
derigs,3196
saruna,3191
gaušs,3191
priecigs,3184
pods,3180
novembris,3165
pavasaris,3165
grāss,3158
dims,3150
noteikums,3144
līgums,3142
iespaids,3140
acumirklis,3136
lāde,3128
sina,3125
kakls,3125
gribeja,3117
Zeptembris,3116
darbiba,3108
visione,3107
kauns,3084
mute,3084
koncerts,3072
sāpe,3064
svētibs,3060
saimniece,3052
lauksaimnieciba,3051
malsts,3049
bariba,3048
ore,3046
dālderis,3046
alus,3040
bite,3039
dzelse,3038
tums,3027
termins,3025
cels,3014
Baznica,3008
ugunsgrēks,2997
viesis,2996
Māczeme,2984
telegrāss,2973
dzimtene,2970
Luters,2966
politika,2966
Decembers,2961
cittadi,2958
asara,2954
labibs,2945
godigs,2945
rīks,2941
Labiba,2935
Londone,2935
osiciers,2934
mešs,2933
ērģeles,2931
vara,2930
bērniņš,2926
pilsats,2924
sakars,2920
redakcija,2919
palīdzibas,2913
labaka,2913
garrs,2905
meitiņa,2902
mietnieks,2901
pagasta-tiesas,2892
mīse,2888
nāmi,2886
krūts,2883
rente,2876
redzejis,2876
akmens,2874
iespēja,2868
balle,2865
kauls,2862
Maskama,2854
troksnis,2852
Ķeisara,2849
mainigs,2846
dāma,2845
mese,2838
daliba,2814
arests,2810
surte,2802
lūds,2798
sars,2798
lānis,2787
esss,2782
bars,2778
grasis,2767
Keisers,2765
uzturs,2763
sprediķis,2761
redaktors,2753
mūris,2752
zemišķs,2750
tirdsnieciba,2749
kambaris,2747
samilija,2740
rudens,2740
maks,2737
liktenis,2734
darbibs,2732
mats,2732
pusse,2728
taī,2723
bode,2722
ģimene,2707
nodošana,2706
pavēlešanu,2705
šaī,2688
daša,2687
kongress,2685
suga,2680
turene,2678
uzraugs,2658
pielikums,2657
rota,2650
piemiņa,2650
reizs,2645
darišana,2640
laimigs,2635
jūdze,2633
grāmatiņa,2632
mūša,2632
bumba,2630
vācietis,2629
grieķis,2621
vēstnesis,2607
materiāls,2600
sviests,2598
sādzibs,2592
si,2591
smešs,2591
iekšlietas,2591
sabiedribas,2589
peļņa,2585
tirgotājs,2581
demejs,2573
mērtiba,2573
beigums,2558
tiesnesis,2553
sirņs,2552
skolotaja,2549
dvēsele,2540
daudzums,2538
smilts,2537
krēsls,2537
austrietis,2535
kantoris,2534
presidents,2534
termiņš,2533
liesma,2531
luga,2529
kurra,2527
ēdiens,2524
siemeļs,2524
miegs,2515
Rigs,2514
lelgava,2513
skolotajs,2512
mins,2509
dems,2501
kga,2501
jūtas,2498
pāris,2497
slote,2491
sēdejs,2486
vīse,2486
rudzu-milts,2464
atļauja,2464
brauciens,2463
stancija,2463
tappa,2459
līdza,2455
biļete,2451
briesmiga,2447
kapeika,2444
Kurceme,2441
pircejs,2439
cietoksnis,2435
braucejs,2432
marrs,2423
vista,2418
ļautiņš,2414
rubl,2414
gaita,2410
pase,2406
maloda,2406
sādša,2405
Bismarks,2404
skaitlis,2404
izrāde,2403
domnieks,2401
pretinieks,2399
Pēterburgs,2398
stūris,2397
patiesiba,2395
dima,2389
pērkons,2389
izdošana,2386
mars,2384
pabalsts,2370
tornis,2366
kmiešs,2365
ģimnasija,2344
pants,2343
amatnieks,2340
kandidāts,2340
prasija,2339
dārss,2337
prettis,2333
klēts,2327
mēlešana,2327
augums,2327
altāris,2326
būme,2314
sulainis,2313
pārdotava,2312
kolonija,2310
maldinieks,2305
Zinams,2302
banda,2300
adrese,2282
deriga,2280
māksla,2278
draudzene,2264
dusmas,2263
drāna,2261
dievkalpošana,2258
loma,2256
sekmes,2253
bijuse,2249
bulgārs,2233
saudejums,2230
grass,2230
streiks,2226
miņns,2217
apgaismošana,2215
plāns,2210
pirksts,2205
parlaments,2202
visada,2200
izdarits,2198
bibliotēka,2195
malstis,2190
acis,2190
mīna,2186
lauksaimnieks,2185
pagrabs,2182
skrīveris,2177
valdibs,2172
pēdejo,2166
trs,2160
apģērbs,2157
iekšceme,2155
katris,2154
pārskats,2151
mārtiem,2151
krūms,2147
ģenerālgubernators,2142
Lutters,2141
pulciņš,2138
vispārigis,2132
siļķe,2132
teaters,2130
inspektors,2129
Varšava,2129
sieds,2123
dzelss,2121
Vidceme,2116
palike,2116
pavasara,2115
smars,2114
leitis,2114
piere,2113
dzeršana,2112
ģīmis,2111
izrīkojums,2105
liecinieks,2103
laiva,2095
telegrama,2092
ministerija,2086
ticibs,2084
prāva,2081
ņo,2078
augs,2078
šķūnis,2069
mantiba,2069
apcietinats,2069
fronte,2068
gudriba,2067
kapteinis,2065
tēms,2065
ogle,2065
musika,2065
karogs,2064
brandmīna,2058
ūdeņs,2058
puika,2054
pļama,2053
lūss,2052
šinis,2049
stāvs,2048
mare,2045
Juns,2044
paliga,2041
prese,2039
priekšnieciba,2033
priesteris,2033
tumsiba,2032
iemītnieks,2031
audzinašana,2029
trauks,2024
minņs,2019
konserence,2013
nasta,2012
kapsēta,2011
karstums,2011
ārceme,2008
kalniņš,2006
izglītibas,2003
brūte,1995
mēris,1992
brīšs,1992
kultūra,1990
stops,1982
meša,1978
bagats,1976
skolnieks,1976
mīkla,1975
spārns,1970
smērs,1969
sādziba,1968
skaņa,1964
rašojums,1962
govs,1962
ala,1960
mi,1960
pļava,1959
pļauja,1959
aprilis,1955
drupas,1955
ceļļs,1954
dzirdejis,1946
protokols,1943
ļaundaris,1941
valdišana,1940
iekšzeme,1938
mirsnieks,1935
jubileja,1935
celšana,1934
rādijs,1933
sabiedriba,1931
statūts,1931
tumums,1931
rīciba,1931
gājejs,1930
ordenis,1928
ļaunums,1927
Mācitajs,1927
stāstija,1921
ola,1921
smiests,1920
Pestitajs,1914
dziedajs,1914
vējš,1913
cēlonis,1913
vīrietis,1907
mēls,1907
aprindas,1906
slola,1905
vadiba,1902
Ķeisars,1900
pāmests,1899
presidenta,1898
arkls,1893
ieņēmums,1888
tams,1888
sudmalas,1888
siemiete,1886
ganiba,1882
Tērpata,1881
sadursme,1877
mēcums,1874
bedre,1873
stabs,1869
Aleksandrs,1865
putraims,1855
nākotne,1850
siola,1849
māls,1847
sīmeja,1845
lielajs,1843
vēlešana,1841
straume,1840
ziema,1839
assara,1838
veikals,1837
Talsu,1836
līnija,1834
priešs,1833
mēle,1831
lopiņš,1831
rēķins,1830
medus,1828
cilts,1821
augstums,1820
mokas,1819
kristiga,1818
domaja,1815
kartuseļs,1812
grunts,1809
sātiba,1809
tīrums,1808
biess,1805
Eņlenders,1804
mantinieks,1803
Japaņs,1800
saime,1800
tappis,1797
māciešs,1797
svars,1793
Dievakalpošana,1793
aka,1791
burts,1791
sorte,1790
interese,1785
saglis,1781
būve,1781
Diems,1780
junija,1779
mode,1778
budšets,1776
desmits,1776
Nomembris,1773
durmis,1771
prasišana,1768
runātājs,1766
Zerbija,1764
Lieldiena,1762
maijadziba,1762
zemišks,1761
rakstnieks,1760
Dašs,1760
atslēga,1757
druska,1756
draudziba,1755
ārlietas,1753
noma,1751
mašine,1749
bass,1749
sirsnigi,1745
makara,1743
jurģi,1743
sagļs,1739
lappa,1738
kristigs,1737
māceklis,1737
cepure,1730
kaušanās,1730
gomis,1727
kaite,1726
siltums,1725
iztaba,1724
andele,1724
šēligs,1723
bīdelets,1719
mēlešans,1718
dievakalpošana,1715
sūtnis,1714
Majestete,1713
nags,1712
rūpnieciba,1711
slimnica,1710
lielako,1709
dalibnieks,1706
libds,1705
nomirrušs,1704
vadonis,1702
tronis,1700
glābšana,1700
nedarbs,1699
muita,1696
Janmars,1694
sadzīve,1694
mīriešs,1693
miests,1693
vēlešans,1691
deputāts,1691
mēģinajums,1691
rūme,1688
masums,1687
minets,1683
plūdi,1680
pilsēts,1677
kalpone,1676
caurums,1674
tumsa,1673
likumprojekts,1669
eņģelis,1667
minūte,1664
izmeklešanas,1662
darijis,1662
pasnieds,1661
aizdomas,1661
dzīvošana,1660
socialdemokrats,1657
viela,1654
strīds,1652
Konstantinopole,1651
Priekšsēd,1650
seviški,1650
ikdiena,1649
klosteris,1647
pilsonis,1644
papīre,1642
Merca,1638
laucinieks,1637
izmeklešana,1637
kurators,1633
brīmiba,1633
patiesibu,1625
Daugama,1624
šimbrīšs,1621
ronās,1617
sestdiena,1616
sinama,1616
skats,1615
spaids,1613
kanāls,1611
seja,1609
prosesors,1608
procents,1608
pelni,1605
miestiņš,1604
dūms,1604
Jūns,1604
biedris,1602
